,TP,WS,HM,SL,SR,TC,MC,PV
1684,8.199999809265137,0.10000000149011612,76.0,0.0,0.0,1.0,0.0,0.0
1685,7.699999809265137,0.10000000149011612,75.0,0.0,0.0,0.0,0.0,0.0
1686,6.400000095367432,0.699999988079071,85.0,0.0,0.05999999865889549,5.0,0.0,1.0
1687,7.199999809265137,0.20000000298023224,82.0,0.4000000059604645,0.25999999046325684,0.0,0.0,47.400001525878906
1688,9.199999809265137,0.30000001192092896,73.0,1.0,0.9399999976158142,0.0,0.0,170.3000030517578
1689,12.600000381469727,0.10000000149011612,58.0,1.0,1.7200000286102295,0.0,0.0,349.6000061035156
1690,17.100000381469727,0.4000000059604645,38.0,1.0,2.450000047683716,2.0,0.0,531.0
1691,19.700000762939453,1.7999999523162842,25.0,1.0,2.869999885559082,4.0,0.0,544.0999755859375
1692,21.600000381469727,1.399999976158142,28.0,1.0,3.259999990463257,1.0,0.0,634.7000122070312
1693,22.5,2.200000047683716,24.0,1.0,3.5199999809265137,1.0,0.0,644.9000244140625
1694,24.299999237060547,1.5,19.0,1.0,3.4000000953674316,0.0,0.0,623.0999755859375
1695,25.299999237060547,1.399999976158142,17.0,1.0,3.049999952316284,0.0,0.0,556.4000244140625
1696,25.600000381469727,1.899999976158142,19.0,1.0,2.4600000381469727,0.0,0.0,440.8999938964844
1697,24.100000381469727,2.200000047683716,24.0,1.0,1.7400000095367432,0.0,0.0,274.8999938964844
1698,22.200000762939453,1.399999976158142,28.0,1.0,0.949999988079071,0.0,0.0,97.0999984741211
1699,19.399999618530273,1.399999976158142,36.0,0.6000000238418579,0.2800000011920929,0.0,0.0,1.100000023841858
1700,17.299999237060547,1.600000023841858,39.0,0.0,0.03999999910593033,4.0,1.0,0.0
1701,15.899999618530273,1.7999999523162842,47.0,0.0,0.0,3.0,0.0,0.0
1702,15.0,2.0999999046325684,49.0,0.0,0.0,9.0,5.0,0.0
1703,14.800000190734863,0.5,48.0,0.0,0.0,10.0,9.0,0.0
1704,13.899999618530273,0.4000000059604645,53.0,0.0,0.0,6.0,0.0,0.0
1705,13.899999618530273,0.4000000059604645,53.0,0.0,0.0,10.0,9.0,0.0
1706,13.600000381469727,0.0,56.0,0.0,0.0,10.0,9.0,0.0
1707,13.199999809265137,0.20000000298023224,59.0,0.0,0.0,6.0,0.0,0.0
1708,13.0,0.4000000059604645,65.0,0.0,0.0,7.0,0.0,0.0
1709,12.5,0.0,70.0,0.0,0.0,7.0,0.0,0.0
1710,11.5,0.5,78.0,0.0,0.05000000074505806,6.0,0.0,0.30000001192092896
1711,12.0,0.30000001192092896,76.0,0.5,0.33000001311302185,4.0,0.0,51.79999923706055
1712,14.5,0.10000000149011612,64.0,1.0,0.9700000286102295,5.0,0.0,132.39999389648438
1713,18.100000381469727,0.6000000238418579,47.0,1.0,1.649999976158142,6.0,0.0,385.1000061035156
1714,20.100000381469727,0.5,36.0,1.0,2.309999942779541,3.0,0.0,486.20001220703125
1715,22.299999237060547,1.2000000476837158,30.0,1.0,2.8499999046325684,6.0,0.0,523.7000122070312
1716,25.0,1.2999999523162842,27.0,1.0,3.3499999046325684,7.0,4.0,626.0999755859375
1717,25.799999237060547,1.899999976158142,22.0,0.6000000238418579,2.4800000190734863,9.0,9.0,391.8999938964844
1718,26.0,3.4000000953674316,18.0,0.20000000298023224,1.9299999475479126,10.0,10.0,347.5
1719,24.799999237060547,3.299999952316284,19.0,0.0,1.350000023841858,10.0,10.0,205.3000030517578
1720,23.899999618530273,2.299999952316284,16.0,0.0,0.8500000238418579,10.0,10.0,90.80000305175781
1721,24.0,1.7000000476837158,15.0,0.0,0.6000000238418579,10.0,10.0,119.30000305175781
1722,23.0,2.700000047683716,13.0,0.0,0.4300000071525574,10.0,10.0,31.0
1723,22.200000762939453,2.200000047683716,14.0,0.0,0.17000000178813934,10.0,9.0,0.5
1724,21.5,1.0,16.0,0.0,0.05000000074505806,10.0,9.0,0.0
1725,20.200000762939453,0.699999988079071,25.0,0.0,0.0,10.0,10.0,0.0
1726,19.700000762939453,0.20000000298023224,29.0,0.0,0.0,10.0,9.0,0.0
1727,18.5,0.10000000149011612,35.0,0.0,0.0,10.0,9.0,0.0
1728,18.100000381469727,1.2000000476837158,35.0,0.0,0.0,10.0,10.0,0.0
1729,18.100000381469727,0.800000011920929,33.0,0.0,0.0,10.0,9.0,0.0
1730,17.5,0.699999988079071,40.0,0.0,0.0,10.0,3.0,0.0
1731,16.200000762939453,1.7999999523162842,47.0,0.0,0.0,9.0,9.0,0.0
1732,16.600000381469727,0.800000011920929,43.0,0.0,0.0,10.0,10.0,0.0
1733,16.700000762939453,0.30000001192092896,44.0,0.0,0.0,10.0,10.0,0.0
1734,16.0,0.10000000149011612,47.0,0.0,0.05000000074505806,10.0,10.0,0.10000000149011612
1735,16.5,0.0,46.0,0.0,0.1599999964237213,10.0,7.0,27.100000381469727
1736,18.0,0.10000000149011612,45.0,0.10000000149011612,0.5899999737739563,10.0,8.0,136.6999969482422
1737,19.600000381469727,0.20000000298023224,43.0,0.10000000149011612,1.0800000429153442,10.0,8.0,229.3000030517578
1738,20.600000381469727,0.800000011920929,38.0,0.0,0.9800000190734863,10.0,9.0,205.10000610351562
1739,22.299999237060547,0.30000001192092896,30.0,0.10000000149011612,1.5199999809265137,10.0,8.0,437.8999938964844
1740,23.100000381469727,1.7000000476837158,26.0,0.0,1.440000057220459,10.0,8.0,190.10000610351562
1741,22.899999618530273,3.0,27.0,0.0,1.1699999570846558,10.0,9.0,177.3000030517578
1742,22.399999618530273,3.0,24.0,0.0,0.8700000047683716,10.0,9.0,230.1999969482422
1743,22.799999237060547,2.799999952316284,21.0,0.0,0.9300000071525574,10.0,9.0,161.0
1744,22.899999618530273,2.299999952316284,24.0,0.0,0.9700000286102295,10.0,7.0,97.0999984741211
1745,22.100000381469727,1.100000023841858,25.0,0.0,0.3700000047683716,10.0,7.0,12.399999618530273
1746,21.799999237060547,0.4000000059604645,28.0,0.0,0.18000000715255737,10.0,6.0,9.600000381469727
1747,20.799999237060547,0.5,31.0,0.0,0.10999999940395355,10.0,9.0,0.800000011920929
1748,20.399999618530273,0.0,32.0,0.0,0.05000000074505806,10.0,10.0,0.0
1749,20.0,0.30000001192092896,35.0,0.0,0.0,8.0,8.0,0.0
