TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_5,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
5.0,2.0,1.0,2.0,4.0,3.2,1.1,2.4,2.6,4.1,1.0,4.0,4.0,4.0,4.0,0.0,30.0,30.0,30.0,80.0,0.0,0.0,5.0
3.0,0.0,-4.0,-4.0,-5.0,4.8,1.8,1.1,0.6,0.9,1.0,1.0,4.0,3.0,1.0,0.0,10.0,30.0,20.0,0.0,0.0,0.0,0.0
8.0,5.0,3.0,2.0,0.0,3.8,1.4,2.9,0.9,0.9,3.0,4.0,4.0,4.0,1.0,20.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
12.0,9.0,6.0,5.0,3.0,4.2,2.0,2.8,3.1,2.3,3.0,1.0,1.0,1.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
10.0,6.0,2.0,0.0,-3.0,4.0,3.3,3.1,4.0,4.1,1.0,1.0,3.0,4.0,3.0,0.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0
1.0,-1.0,-2.0,-3.0,-4.0,7.3,4.3,3.4,2.4,1.9,1.0,1.0,3.0,3.0,3.0,0.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0
6.0,3.0,-1.0,-3.0,-3.0,4.0,1.1,0.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,6.0,3.0,0.0,-1.0,3.6,1.0,0.7,1.2,1.4,3.0,3.0,3.0,1.0,3.0,20.0,20.0,10.0,0.0,10.0,0.0,0.0,0.0
12.0,9.0,5.0,2.0,2.0,1.5,0.4,1.2,1.2,1.5,3.0,3.0,3.0,3.0,3.0,10.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
15.0,11.0,5.0,2.0,1.0,2.0,1.3,1.2,1.3,1.4,3.0,3.0,3.0,3.0,3.0,20.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0
17.0,13.0,7.0,4.0,3.0,1.4,1.5,1.3,1.5,1.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,12.0,9.0,7.0,6.0,1.4,2.8,1.4,1.6,1.8,4.0,4.0,4.0,4.0,4.0,30.0,60.0,60.0,60.0,30.0,5.0,5.0,0.0
4.0,2.0,0.0,-1.0,-1.0,8.3,5.4,5.1,5.5,4.7,4.0,1.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
6.0,0.0,-2.0,-3.0,-4.0,6.8,5.8,2.9,3.5,3.8,4.0,4.0,3.0,4.0,4.0,70.0,60.0,20.0,30.0,60.0,5.0,0.0,1.0
-3.0,-3.0,-4.0,-5.0,-4.0,8.2,5.6,6.0,5.7,4.7,4.0,4.0,4.0,4.0,4.0,60.0,60.0,60.0,60.0,60.0,5.0,5.0,1.0
1.0,0.0,-1.0,-2.0,-3.0,7.1,4.0,1.6,1.1,1.0,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
10.0,7.0,4.0,4.0,5.0,5.9,4.6,6.0,5.7,3.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,11.0,7.0,6.0,5.0,5.2,3.2,3.2,2.6,2.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
