,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,forcast_horizon
210222,698.6,661,687.4,657.6,664.5,652.9,699,742.5,813.6,860.7,848.3,813.5,790.2,797.9,803.9,804.8,817.1,821,801.1,793.4,812.3,828,828.7,797.9,3
210223,785.1,816.2,816.6,750.1,811.7,767.9,800.8,832.7,851.3,942.5,986.9,987.1,932,971.7,950.3,917.1,948.4,921.9,875.8,841.3,825.8,825.5,809.2,787.2,1
210224,803.8,768.5,826.9,797.8,803.3,808.2,801.2,836.6,925.4,967,1009.3,986.7,1000,957.7,951.5,962.5,936.9,972.4,907.4,884.4,918.3,864.6,848.4,824.8,1
210225,873.4,814.9,802.7,830.8,805.7,796.9,803.9,794.4,882.8,975.5,1017.6,991.9,997.2,967.7,998.6,984.4,963.8,930,894.5,856.4,819.8,827.5,799.8,782.9,1
210226,761.6,746.6,718.6,753,726.8,741.1,739.4,730,808.5,902.6,908.6,872.6,892,878,899.5,878.2,860.3,829.3,792.7,773.8,746.7,779.4,774.6,725.9,1
210301,700.9,677.6,643,691.4,648.9,628.9,599.4,632.6,634.7,649.7,679.9,678.4,683.4,707.4,702.8,693.4,715.4,749.4,738.3,730.5,747.8,765,751.3,738.5,3
210302,719.9,701.5,701.6,698.5,685,666.4,722.6,706.9,867,942,930.8,953.3,917.5,884.6,943.2,891.6,867.1,881.8,868.2,853.1,848,857.5,816.9,829.4,1
210303,771,801.9,791.9,794.5,765.2,777.1,812,865.9,888.6,1012.3,974.9,955.3,949.3,915.7,891.7,899.5,837,858.1,824,785,765,777.3,765.8,734.3,1
210304,730.8,704.1,693.7,712,685.4,695,689.3,725.5,831.6,939.5,909.9,945.3,943.9,911,906.7,941.1,895.9,900.3,833.2,798.9,819.8,795.1,809.8,797.6,1
210305,779.1,729,726.8,738.3,749.4,715,754.7,761.8,828.4,882.9,874.8,878.1,839,796.3,794.4,795.7,774.5,773,726.5,699,698.3,700.2,669.8,694.6,1
210308,671.4,683.2,646.6,650.9,672.6,645.9,663.6,674.9,778.2,862.5,854.6,864.7,823.7,817.9,833.6,811,799.4,783.5,749.3,763.9,731.6,778.1,715,706.1,3
210309,678.2,664,666.5,672.5,657.1,659.5,678.2,715.6,800.1,883.8,838.9,817.5,791.9,804.6,803,789.9,782.6,798.3,776.8,759.5,738,727.8,740.1,716,1
210310,718.1,690.7,674.2,663.8,698.3,680.4,682.8,709.8,789.4,873.5,853.7,820,777.6,767.9,790.7,818.8,745.8,731.2,714.8,700.6,658.3,669.4,685.1,684.9,1
210311,670.7,663.5,659.4,682.9,645.8,622.8,663.7,653.5,748.1,807.5,809.7,807.4,759.6,766,746.9,767.3,740.5,736.3,701.3,669.6,643.1,657,661.9,636.7,1
210312,622.9,641.1,664.6,626.5,619.5,601.2,641.1,624.5,721,778.8,797.3,805,817.2,790.1,817.5,802.5,795.3,787.2,716.8,667.7,689.1,687.3,676,660.2,1
210315,658.5,632.3,624.3,616.7,618.5,608.3,635.9,669.7,759.4,814.9,815.7,792.6,774.8,793.3,758,781.5,760,740.1,725,654.3,667,646.9,644.4,611.3,3
210316,613.1,618.8,625.4,590.6,617.9,588.9,600.8,636.4,709.4,763.5,792.9,780.9,763,759.5,745.6,745.8,770.2,735.4,722,685.8,720.3,726,710.1,700.7,1
210317,703,699.7,663.1,685.9,655,681.2,652.9,697.8,753.1,879.2,837.6,859.1,775.7,814.7,768,810.4,788.2,756.1,740.4,676.3,712.3,702.7,698.2,699.7,1
210318,682.6,651.9,642,627.7,649.9,616.5,666,711,729.8,797.1,806.9,778.3,744.2,752.5,786.4,801,756,722.2,700.2,692.7,698.5,723.6,718.6,651.7,1
210319,678.6,676.6,644.4,632.9,635.6,622.5,600.7,637.7,710.3,751.9,745.3,763.6,716.6,700.1,726.1,749,736.9,737.2,695.3,664.2,646.6,645.4,600.9,595.3,1
210322,719,678.8,645.1,661.4,638.3,646.7,651.8,663.2,797.1,844.5,928.2,935.2,857.7,871.8,866.7,841.2,825.8,847.8,784.7,779.1,763.8,726.1,718,718.1,3
210323,658.4,653.7,634.1,624.8,633.8,631.8,670.3,658.5,776.9,807.2,858.7,835.5,815.5,799.4,818.1,809.9,789.8,784.9,729.6,706.3,732.7,738.4,682,684.8,1
210324,693.8,657.9,659.7,666.3,677.1,673.7,684.4,666.1,764.1,818.9,844.7,823.7,766.4,818.7,790.7,808.6,769.7,765.3,722.1,695.1,695.3,706.2,664.2,658,1
210325,677.2,662.6,625.5,618.2,590.3,646,640.9,685.7,695.8,783.3,796.4,790.7,764.5,748.7,747.5,781,741.9,732.5,711.2,648.2,671.1,678.8,637.9,642.7,1
210326,656.5,631.2,630.5,611.6,625.5,620.9,636.3,627.1,695,741.9,775.1,775.7,744.4,729.4,752.3,720.7,686.7,674.3,643.8,650.5,618.6,637.3,592,596.3,1
210329,622,651.6,635.9,641.2,629,617.1,640.5,630.4,698.7,718.3,778,780.8,719.8,750.8,765.1,725,731.8,760,664.4,673.1,636.8,637.6,627.4,633.8,3
210330,628.8,623.3,607.7,569.6,601.4,613.7,638.9,640.9,711.4,730.1,746.1,772.6,763.4,743,763.8,764.3,713.3,727.6,716.7,684.5,680.2,655.7,652.1,646.9,1
210401,590.5,577.8,591,585.3,593,581.1,601.9,583.2,640.5,715.9,747.9,728.5,745.7,751.5,805.9,770.5,743.9,727.3,693.4,644.5,687,663.2,636.8,635.1,2
210402,615.7,590.5,576.5,587.5,566.6,598.3,578.8,595.2,635.8,688.9,730.9,748.7,713.4,740.4,776.4,742.1,732.4,714,662.7,645.7,615.4,616.1,650.2,588.1,1
210405,635.1,616.7,646.6,639.6,642.6,600.9,610.2,615.1,678.6,736,790.7,755.8,750.7,759.5,779.6,785.1,775.3,769.4,706.9,659.2,690.3,696.2,668.3,661.7,3
210406,668.3,625.2,604.8,609.6,622.5,641.2,624.7,651.1,700.8,723.9,747.8,769.5,764.3,729.1,789.1,779.3,761,732.3,686.1,688.3,667,622.6,638.6,628.8,1
210407,676.5,654.4,588.5,592.9,588.9,599.7,618.1,600.7,662,701,758.2,738,726.9,752.1,781,776.4,767.2,711.7,744.9,645.1,655.5,644.7,628.5,682.3,1
210408,598.1,576.7,573,546.9,594.8,593.9,562.5,594.4,660,700.5,738.5,732.1,718.4,731.5,740.7,739.5,767.1,733.7,671.3,668.9,654.8,679.8,653.1,652.6,1
210409,630.8,642.1,620.6,617.9,639.9,592.8,618.4,624.2,691,770.8,740.7,763.7,750.1,736.2,756.8,783.3,740.5,699.7,682.3,628.4,652.4,619.3,593,583.6,1
210412,593.4,581.4,569.3,556.4,546.7,575.6,586.1,556.4,626.2,688.6,746.8,716.1,710.1,740.8,785.9,787.7,768.5,769.2,741.1,699.3,700,693.3,672.3,654.6,3
210413,655.5,637.7,648.2,637.8,615.6,631.1,596.3,627.8,661.5,739.8,752.6,776.8,771.3,784.2,755.9,811.9,765.8,749.9,710.3,683.5,679,678.4,672.2,633.2,1
210414,654.8,651.4,656.9,635.6,660.2,615.7,638.1,609.3,698.8,745.2,794.2,769.9,761.1,773,767.6,732.8,764.8,739.3,701,652.1,677.1,658.9,642.5,648.1,1
210415,638.2,620.9,641.2,653.9,638.3,609.9,640.5,622,681.1,750.7,781,777,751.4,797.4,775.5,738.8,755.6,750.4,695.3,665.5,668.8,672.2,674.2,663.5,1
210416,644.5,622.9,590.8,641.3,603.2,621.6,592.4,638,666.8,739.2,730.2,762.1,705.7,764.3,710.3,694.6,733.8,705.3,658.1,661.9,637.1,616.3,628.9,597.4,1
210419,643.8,631.2,630.2,587.3,624.2,617.6,651.7,643.1,658.4,712.8,758.1,758.7,748.9,801.6,807.2,785.4,744.8,738.3,707.9,690.9,666.1,675.1,682.6,670.3,3
210420,633.1,618.9,626,614.1,588.2,589.2,620.1,626.2,659.9,702.3,678.6,686.5,663.6,699.1,657.7,676.6,649.5,651.8,639.8,589,598.3,604.3,590.6,579.8,1
210421,599.7,574.8,585.3,574,586.6,574.5,585.6,587.4,629.3,722.8,734.2,716.3,758.1,739.5,754.8,739.8,738.6,740.8,681.6,672.6,661.2,658.7,650.7,643.2,1
210422,602.5,586.9,583.4,578.9,568.1,575.1,605.5,586.5,650.6,720.8,764.1,778.2,724.4,746.6,730.7,742.6,735.8,725.4,675,656.1,677.4,680.2,646.2,624.1,1
210423,632.3,605.4,598.3,580.6,570,589,585.1,562.6,621.7,688.3,695.6,770.7,754.2,757.6,773.5,818.9,767.7,792.8,701.4,667.5,655.8,658.8,642.5,612.6,1
210426,575.4,580.8,563.8,580.2,569.8,551.8,551.8,573.7,623.8,701,734.5,762.3,739.5,738.4,783.8,825.9,815.4,775.3,750.9,713.8,698,700.4,696.7,690.8,3
210427,656.7,643.4,607.8,605.3,570.3,576,584.9,618.5,685.4,757.3,759.5,790.5,772.6,820.8,793.5,821.7,812.1,773.4,743.2,732.1,692.9,708.8,702.9,647.4,1
210428,623.8,636.7,599.5,596.6,608,601.5,611.9,650.4,706.4,789.4,827.7,844.7,789.6,810.5,830.3,852.1,807.7,782.8,741.3,719.7,718.6,701.9,694.5,683.4,1
