,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,load_flag
210127,812.1,802.6,806.0,822.9,777.8,772.2,784.3,775.5,890.5,954.5,981.1,976.8000000000001,917.8,903.8000000000001,914.7,946.5,936.4,958.4000000000001,932.0,904.8,930.0,903.2,899.6,863.7,0
210128,866.9,891.5,852.2,886.2,857.3,867.2,866.6,854.4,953.6,1020.6999999999999,1059.8,1031.0,970.1999999999999,973.4,960.1,986.0999999999999,965.8000000000001,988.4,969.3,953.0,961.3,933.3,943.1,909.9,0
210129,920.5,965.9,898.3,923.7,913.0,939.1,933.1,933.9,1010.3,1081.7,1140.2,1089.8,1090.8,1111.1,1049.8,1073.1,1024.7,1030.9,987.9,967.9,939.9,939.0,958.8,949.0,0
210130,934.6,911.1,967.2,931.1,906.3,912.7,899.2,886.1,865.1,884.6999999999999,864.9,880.3,801.0,834.5,861.6,856.3,901.6,915.1999999999999,889.8,862.6,859.4,859.6,867.6,913.0,1
210131,942.9,897.3,1007.0,932.4,905.1,906.0,893.3,865.7,813.5,889.5,857.6,850.5,804.7,798.1,842.5,826.0,853.9,905.1,874.7,832.0,825.9,850.5,839.4,899.6,1
210201,835.7,822.5,823.6,830.5,845.9,795.2,875.8,829.8,876.2,1058.0,1086.9,1003.2,1035.6,1005.3000000000001,1009.5,1069.3,1058.3,1016.6999999999999,1016.8,1028.6,1004.1,956.9,977.2,915.2,0
210202,840.9,839.7,836.6,831.0,845.5,805.3,863.7,847.8,926.1999999999999,1079.6,1093.5,1057.1000000000001,1051.0,1020.3,1025.4,1059.0,1047.2,1017.8000000000001,996.5,993.4,977.7,947.5,946.8,905.0,0
210203,912.3,881.9,870.2,849.2,849.6,832.6,840.9,941.6,1044.6,1083.1000000000001,1078.1999999999998,1092.2,1023.5,981.4,966.0999999999999,986.8000000000001,969.1,998.8,971.3,931.8,910.9,933.8,887.9,855.5,0
210204,835.3,852.4,816.7,790.3,790.8,824.5,789.3,845.6,956.3,1061.5,1088.1,1023.9,1036.3,1028.7,1054.4,1001.3,993.6999999999999,1021.2,961.6,939.4,953.8,948.1,905.5,938.2,0
210205,885.3,932.6,875.9,915.9,869.8,844.6,881.4,873.3,930.8,1013.0,1083.0,1071.1,991.9,982.8,997.3000000000001,950.0,927.6,945.2,875.7,846.2,871.8,861.5,826.8,822.9,0
210206,819.9,801.3,812.6,821.2,813.3,781.8,816.2,796.9,833.5999999999999,798.6,791.1999999999999,817.2,812.8000000000001,778.7,811.5,826.6999999999999,803.3,789.1999999999999,802.6,781.5,784.3,767.0,798.0,780.8,1
210207,771.1,784.1,765.0,778.3,759.2,738.2,753.2,754.0,754.5,766.7,733.6,726.5,715.0999999999999,751.0,730.3,787.6,780.5,816.6,837.6,831.2,827.0,846.2,813.3,818.3,1
210208,825.1,822.7,788.8,792.4,822.4,766.6,808.3,784.1,887.9,960.6,1009.5,996.9,1017.5,1038.4,989.5,983.3,992.4,1004.9,980.8000000000001,934.0,913.0,891.1,884.7,873.1,0
210209,852.1,834.6,811.8,796.2,786.9,815.4,816.7,796.9,955.6,1054.1,1057.6,1002.9000000000001,974.5,976.4,978.4000000000001,944.7,941.3,918.8000000000001,902.6,890.7,907.2,937.6,870.6,848.0,0
210210,886.1,852.0,835.1,839.8,860.3,841.0,840.2,842.4,926.1,952.4,996.6999999999999,977.1999999999999,924.5,922.9,914.6,884.7,910.1,891.5999999999999,834.2,823.2,802.2,780.6,814.7,759.2,0
210211,809.3,811.6,780.4,764.8,777.7,778.1,794.9,782.1,785.3,773.1,748.0,769.1,727.0,730.0999999999999,725.6,704.0,726.5,715.6,742.3,722.0,717.2,681.1,707.0,699.6,1
210212,722.0,723.8,747.1,718.5,707.6,731.5,737.1,720.5,731.0,727.5,726.6,696.9000000000001,666.1,645.3000000000001,650.3,650.4,688.2,702.0,714.5,695.6,698.6,714.8,721.2,747.0,1
210213,761.4,756.0,788.6,749.8,735.5,769.5,856.8,833.0,730.4,748.1,738.4,674.5999999999999,683.3,690.7,681.9,651.6,675.2,701.5,686.8,699.2,711.7,694.9,724.9,735.3,1
210214,754.4,761.8,744.7,714.2,733.2,678.6,702.1,718.8,709.3,677.6,685.2,701.4,668.5,653.5,713.5,680.7,722.0,702.9,699.0,690.3,706.8,718.2,727.6,701.2,1
210215,705.3,699.1,684.8,684.6,707.2,685.2,701.3,690.4,807.7,917.3000000000001,943.3000000000001,942.6,969.7,982.9,994.9000000000001,991.1,1014.1,1003.2,958.1,939.5,924.3,852.1,885.2,826.0,0
210216,834.9,790.1,806.2,783.8,771.5,782.6,813.2,822.3,914.0999999999999,1026.8,1049.1,1029.1,1019.6,1015.6,996.0,1005.4000000000001,989.9,995.4000000000001,948.3000000000001,923.2,920.0,902.9,887.7,871.3,0
210217,856.2,853.9,823.0,840.9,826.1,819.4,845.3,932.9,910.9,1062.5,1088.6000000000001,1110.3999999999999,1096.0,1108.3,1139.6000000000001,1142.3,1147.1000000000001,1157.1000000000001,1099.3999999999999,1051.0,1037.4,984.1,964.2,976.5,0
210218,960.6,904.2,901.5,882.7,876.8,899.1,879.2,871.7,989.7,1083.7,1098.6000000000001,1099.2,1022.9,1094.7,1078.3000000000002,1163.1000000000001,1133.8999999999999,1098.5,1032.9,1000.7,982.5,974.9,965.5,948.0,0
210219,905.5,885.4,894.4,861.3,876.3,902.2,890.7,926.0,995.9,1060.8,1072.8000000000002,1052.5,1016.2,1001.1,973.4,964.0,943.9,928.6,836.6,837.2,832.5,830.9,822.9,801.8,0
210220,795.5,832.2,822.9,810.9,784.3,777.3,823.8,799.2,778.8,792.3000000000001,839.1,749.6,723.1,744.0999999999999,761.1,763.8,741.1,773.1999999999999,739.5,714.3,751.4,706.6,748.0,738.7,1
210221,720.1,745.4,752.9,724.2,710.0,685.8,758.9,745.3,786.5,810.2,799.8,727.4,708.6,713.6,729.2,720.6,711.4000000000001,749.1,753.5,744.9,778.8,744.9,784.7,767.4,1
210222,698.6,661.0,687.4,657.6,664.5,652.9,699.0,742.5,813.6,860.6999999999999,848.3000000000001,813.5,790.2,797.9,803.9,804.8,817.1,821.0,801.0999999999999,793.4,812.3,828.0,828.7,797.9,0
210223,785.1,816.2,816.6,750.1,811.7,767.9,800.8,832.7,851.3,942.5,986.9,987.0999999999999,932.0,971.7,950.3,917.1,948.4,921.9,875.8,841.3,825.8,825.5,809.2,787.2,0
210224,803.8,768.5,826.9,797.8,803.3,808.2,801.2,836.6,925.4000000000001,967.0,1009.3,986.7,1000.0,957.7,951.5,962.5,936.9000000000001,972.4,907.4000000000001,884.4,918.3,864.6,848.4,824.8,0
210225,873.4,814.9,802.7,830.8,805.7,796.9,803.9,794.4,882.8000000000001,975.5,1017.6,991.9,997.2,967.6999999999999,998.5999999999999,984.4000000000001,963.8,930.0,894.5,856.4,819.8,827.5,799.8,782.9,0
210226,761.6,746.6,718.6,753.0,726.8,741.1,739.4,730.0,808.5,902.6,908.6,872.6,892.0,878.0,899.5,878.2,860.3000000000001,829.3,792.7,773.8,746.7,779.4,774.6,725.9,0
210227,719.7,703.8,704.0,723.4,698.7,710.1,703.2,683.1,727.1,722.8,702.0,692.5,673.6,688.8,647.1,694.6999999999999,656.1,676.6999999999999,661.1999999999999,652.9,674.9,721.7,705.3,703.9,1
210228,710.5,683.2,696.8,719.1,686.6,691.1,673.4,645.6,643.3,586.8,542.9000000000001,523.3000000000001,479.0,512.5,447.0,516.9,528.3,562.0,556.6,563.1,605.6,670.6,665.1,688.5,1
210301,700.9,677.6,643.0,691.4,648.9,628.9,599.4,632.6,634.7,649.6999999999999,679.9,678.4,683.4,707.4,702.8000000000001,693.4,715.4,749.4,738.3,730.5,747.8,765.0,751.3,738.5,0
210302,719.9,701.5,701.6,698.5,685.0,666.4,722.6,706.9,867.0,942.0,930.8,953.3,917.5,884.6,943.2,891.6,867.1,881.8,868.2,853.1,848.0,857.5,816.9,829.4,0
210303,771.0,801.9,791.9,794.5,765.2,777.1,812.0,865.9,888.6,1012.3,974.9,955.3000000000001,949.3000000000001,915.7,891.7,899.5,837.0,858.1,824.0,785.0,765.0,777.3,765.8,734.3,0
210304,730.8,704.1,693.7,712.0,685.4,695.0,689.3,725.5,831.6,939.5,909.9000000000001,945.3000000000001,943.9,911.0,906.6999999999999,941.1,895.9000000000001,900.3,833.2,798.9,819.8,795.1,809.8,797.6,0
210305,779.1,729.0,726.8,738.3,749.4,715.0,754.7,761.8,828.4,882.9,874.8,878.0999999999999,839.0,796.3,794.4,795.7,774.5,773.0,726.5,699.0,698.3,700.2,669.8,694.6,0
210306,683.2,684.9,667.5,642.4,668.4,660.7,687.9,665.6,646.7,691.4,669.2,667.9000000000001,671.3,654.4,655.1,667.5,658.7,642.6,658.4,662.9,650.9,638.8,634.3,661.2,1
210307,671.4,677.3,647.0,633.7,642.2,667.9,657.8,661.3,667.6,685.5,664.3,651.5,647.9000000000001,660.5,662.5,645.7,674.5999999999999,670.3000000000001,689.6,708.8,703.6,699.0,717.1,674.4,1
210308,671.4,683.2,646.6,650.9,672.6,645.9,663.6,674.9,778.2,862.5,854.6,864.6999999999999,823.7,817.9,833.6,811.0,799.4,783.5,749.3,763.9,731.6,778.1,715.0,706.1,0
210309,678.2,664.0,666.5,672.5,657.1,659.5,678.2,715.6,800.1,883.8000000000001,838.9000000000001,817.5,791.9000000000001,804.6,803.0,789.9,782.6,798.3,776.8,759.5,738.0,727.8,740.1,716.0,0
210310,718.1,690.7,674.2,663.8,698.3,680.4,682.8,709.8000000000001,789.4,873.5,853.7,820.0,777.6,767.9000000000001,790.7,818.8000000000001,745.8,731.1999999999999,714.8000000000001,700.6,658.3,669.4,685.1,684.9,0
210311,670.7,663.5,659.4,682.9,645.8,622.8,663.7,653.5,748.1,807.5,809.7,807.4000000000001,759.6,766.0,746.9,767.3000000000001,740.5,736.3000000000001,701.3000000000001,669.6,643.1,657.0,661.9,636.7,0
210312,622.9,641.1,664.6,626.5,619.5,601.2,641.1,624.5,721.0,778.8,797.3000000000001,805.0,817.2,790.1,817.5,802.5,795.3,787.1999999999999,716.8,667.7,689.1,687.3,676.0,660.2,0
210313,666.8,663.2,620.8,628.9,666.4,645.2,641.2,653.8000000000001,658.0,626.4000000000001,634.9,650.8000000000001,643.2,617.7,621.0,639.0,619.2,623.5999999999999,634.1,651.7,648.0,649.3,693.2,660.7,1
210314,651.4,624.0,660.6,661.5,640.7,678.4,669.8,664.0,665.5999999999999,656.5999999999999,658.9,637.1999999999999,618.3000000000001,646.8,626.2,624.1,615.7,629.8000000000001,639.0,621.5,614.5,621.4,676.8,638.5,1
210315,658.5,632.3,624.3,616.7,618.5,608.3,635.9,669.6999999999999,759.4,814.9,815.7,792.6,774.8000000000001,793.3,758.0,781.5,760.0,740.1,725.0,654.3,667.0,646.9,644.4,611.3,0
210316,613.1,618.8,625.4,590.6,617.9,588.9,600.8,636.4,709.4,763.5,792.9,780.9,763.0,759.5,745.6,745.8,770.2,735.4,722.0,685.8,720.3,726.0,710.1,700.7,0
210317,703.0,699.7,663.1,685.9,655.0,681.2,652.9,697.8,753.1,879.1999999999999,837.6,859.1,775.6999999999999,814.7,768.0,810.4000000000001,788.2,756.1,740.4,676.3,712.3,702.7,698.2,699.7,0
210318,682.6,651.9,642.0,627.7,649.9,616.5,666.0,711.0,729.8,797.1,806.9,778.3,744.1999999999999,752.5,786.4,801.0,756.0,722.2,700.1999999999999,692.7,698.5,723.6,718.6,651.7,0
210319,678.6,676.6,644.4,632.9,635.6,622.5,600.7,637.7,710.3000000000001,751.9,745.3000000000001,763.6,716.6,700.0999999999999,726.1,749.0,736.9,737.2,695.3,664.2,646.6,645.4,600.9,595.3,0
210320,617.2,578.1,571.6,594.4,616.4,613.9,586.8,584.7,610.6,630.6,612.0,641.1999999999999,629.6,644.6999999999999,648.5,666.8000000000001,666.3,645.5,712.4,673.4,663.5,689.9,708.3,655.2,1
210321,584.9,630.7,592.1,610.9,629.3,625.6,609.7,622.4000000000001,649.0,607.8000000000001,650.8,669.0,683.8000000000001,689.6,699.0,709.9,730.1999999999999,734.3,717.4000000000001,734.3,698.9,727.5,715.3,758.3,1
210322,719.0,678.8,645.1,661.4,638.3,646.7,651.8,663.1999999999999,797.1,844.5,928.1999999999999,935.2,857.7,871.8,866.7,841.2,825.8000000000001,847.8,784.7,779.1,763.8,726.1,718.0,718.1,0
